IMMUNOSUPPRESSIVE_CYTOKINE_PATHWAYS	NK_INHIBITING_RECEPTORS	IMMUNOSUPPPRESSIVE_CORE_PATHWAYS	TUMOR_GROWTH	RECRUITMENT_OF_IMMUNE_CELLS	IMMUNOSUPPRESSIVE_CYTOKINE_EXPRESSION	NO_ROS_PRODUCTION	NK_ACTIVATING_RECEPTORS	FC_RECEPTORS	IMMUNOSUPPRESSIVE_CHEKPOINTS	EXOCYTOSIS_AND_PHAGOCYTOSIS	IMMUNOSTIMULATORY_CHEKPOINTS	ANTIGEN_PRESENTATION	IMMUNOSTIMULATORY_CYTOKINE_PATHWAYS	INTEGRINS	MIRNA_TF_IMMUNOSTIMULATORY	DANGER_SIGNAL_PATHWAYS	MIRNA_TF_IMMUNOSUPPRESSIVE	IMMUNOSTIMULATORY_CYTOKINE_EXPRESSION	IMMUNOSTIMULATORY_CORE_PATHWAYS
SLC16A8		PRKAR1A	TGFB1	CXCL8			PTPRC			TNF		CTSS	IFNA14				MAF		GSK3B
MIF		PRKAR1B	TGFB2	IL8			RAET1E			TNFSF10		CYBA	IFNA16				MYC		HRAS
SLC3A2		PRKAR2A	TGFB3	KIT			SH2D1A			TRIP10		CYBB	IFNA17				RUNX1		IKBKG
SMAD3		PRKAR2B	TIMP1	KITLG			SH2D1B			TUBGCP2		ERAP1	IFNA21				CTNNB1		CHUK
SMAD4		PPARG	TIMP2	LTF			SLAMF7			TUBGCP3		HLA-DMA	IFNAR1				MIR1245A		IKBKB
SOCS3		PTPN11	TIMP3	MMP10			ULBP1			TUBGCP4		HLA-DMB	IFNAR2				MIR15A		ITPR1
STAT1		PTN6	TYMP	AGER			ULBP2			TUBGCP5		IFI30	IFNB1				MIR15B		ITPR2
STAT3		INPP5D	VEGFA	S100A8			ULBP3			TUBGCP6		IRAP	IFNG				MIR16-1		ITPR3
STAT6		SUMO1	WNT7B	S100A9			ZAP70			TUBG1		ITGAV	IFNGR1				MIR16-2		IRAK1
TGFB1		SUMO2	ILB1	S1PR1						TUBG2		ITGB3	IFNGR2				MIR150		IRAK3
TGFB2		SUMO3		S1PR2						WAS		ITGB5	IL12A				MIR183		IRS2
TGFB3		SUMO4		S1PR3						WIPF1		LGMN	IL12B				MIR185		NFKBIA
TGFBR1		TBL1X		S1PR4								MARCH1	IL12RB2				MIR223		NFKBIB
TGFBR2		TBL1XR1		S1PR5								HLA-A	IL13				MIR27A		NFKBIE
THBS1		UBE2I		ILB1								HLA-B	IL15				MIR30E		MAPK8
TYK2		CTNNA1		CCR7								HLA-C	IL15RA				MIR378		MAPK9
